"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"03/21/2025","Reinvest Dividend","IVV","ISHARES CORE S&P ...500 ETF","","","","$98.21"
"03/19/2025","Buy","SHOP","SHOPIFY INC FCLASS A","2","$99.98","","-$199.96"
"03/18/2025","Qualified Dividend","CEG","CONSTELLATION ENERGY COR","","","","$0.39"
"03/17/2025 as of 03/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.18"
"03/14/2025","Reinvest Shares","IBKR","INTERACTIVE BROKERS GROUCLASS A","0.0107","$164.9499","","-$1.76"
"03/14/2025","Qual Div Reinvest","IBKR","INTERACTIVE BROKERS GROUCLASS A","","","","$1.76"
"03/12/2025","Reinvest Shares","SPGI","S&P GLOBAL INC","0.0042","$478.3546","","-$1.99"
"03/12/2025","Qual Div Reinvest","SPGI","S&P GLOBAL INC","","","","$1.99"
"03/05/2025","Buy","NVDA","NVIDIA CORP","1","$117.3582","","-$117.36"
"03/05/2025","Reinvest Shares","MTG","MGIC INVT CORP WIS","0.1533","$23.685","","-$3.63"
"03/05/2025","Qual Div Reinvest","MTG","MGIC INVT CORP WIS","","","","$3.63"
"03/03/2025","Reinvest Shares","V","VISA INC CLASS A","0.004","$365.0011","","-$1.46"
"03/03/2025","Reinvest Shares","EQT","EQT CORP","0.0362","$48.4054","","-$1.75"
"03/03/2025","Qual Div Reinvest","EQT","EQT CORP","","","","$1.75"
"03/03/2025","Qual Div Reinvest","V","VISA INC CLASS A","","","","$1.46"
"02/28/2025","Buy","PYPL","PAYPAL HLDGS INC","2","$70.815","","-$141.63"
"02/26/2025","Buy","VWO","VANGUARD FTSE EMERGING MARK ETF IV","2","$46.125","","-$92.25"
"02/25/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","3","$134.16","","-$402.48"
"02/25/2025","Sell","BILL","BILL HOLDINGS INC","1","$53.725","","$53.73"
"02/25/2025","Sell","KD","KYNDRYL HLDGS INC","1","$36.96","","$36.96"
"02/25/2025","Sell to Open","DKNG 03/28/2025 39.00 P","PUT DRAFTKINGS INC NEW $39 EXP 03/28/25","1","$0.76","$0.66","$75.34"
"02/19/2025","Buy","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","7","$62.845","","-$439.92"
"02/19/2025","Buy","VWO","VANGUARD FTSE EMERGING MARK ETF IV","10","$45.975","","-$459.75"
"02/19/2025","Sell","CGXU","CAPITAL GROUP INTRTNL FOC EQY ETF","38","$26.185","$0.04","$994.99"
"02/18/2025","Buy to Close","CHWY 02/28/2025 37.00 P","PUT CHEWY INC $37 EXP 02/28/25","1","$0.37","$0.66","-$37.66"
"02/18/2025 as of 02/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.19"
"02/13/2025","Sell","TTD","THE TRADE DESK INC CLASS A","4","$83.7301","$0.01","$334.91"
"02/11/2025","Buy","BILL","BILL HOLDINGS INC","1","$63.11","","-$63.11"
"02/07/2025","Sell","ELF","E L F BEAUTY INC","1","$71.301","","$71.30"
"02/05/2025","Buy","PYPL","PAYPAL HLDGS INC","2","$78.5348","","-$157.07"
"01/31/2025","Reinvest Shares","EME","EMCOR GROUP INC","0.0006","$446.9817","","-$0.25"
"01/31/2025","Qual Div Reinvest","EME","EMCOR GROUP INC","","","","$0.25"
"01/30/2025","Buy","VWO","VANGUARD FTSE EMERGING MARK ETF IV","2","$44.785","","-$89.57"
"01/30/2025","Sell to Open","CHWY 02/28/2025 37.00 P","PUT CHEWY INC $37 EXP 02/28/25","1","$0.75","$0.66","$74.34"
"01/28/2025","Sell","TTE","TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","6","$58.11","$0.01","$348.65"
"01/21/2025","ADR Mgmt Fee","TTE","TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.06"
"01/21/2025","Foreign Tax Paid","TTE","TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$1.22"
"01/21/2025","Qualified Dividend","TTE","TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$4.87"
"01/21/2025","Buy to Close","SOFI 01/31/2025 15.00 P","PUT SOFI TECHNOLOGIES IN$15 EXP 01/31/25","1","$0.36","$0.66","-$36.66"
"01/17/2025","Sell","LLY","ELI LILLY AND CO","1.0016","$743.3307","$0.02","$744.50"
"01/16/2025","Sell","CNR","CORE NAT RES INC","7.0314","$94.7237","$0.02","$666.02"
"01/16/2025","Sell","KEP","KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","14","$6.995","","$97.93"
"01/16/2025","Buy","VWO","VANGUARD FTSE EMERGING MARK ETF IV","22","$43.5145","","-$957.32"
"01/16/2025","Buy","VXUS","VANGUARD TOTAL INTERNATIONAL STK ETF","25","$59.305","","-$1482.63"
"01/16/2025","Sell to Open","SOFI 01/31/2025 15.00 P","PUT SOFI TECHNOLOGIES IN$15 EXP 01/31/25","1","$0.73","$0.66","$72.34"
"01/16/2025","Sell","AADR","ADVISORSHARES DORSEY WRIGHT ADR ETF","36","$72.30","$0.08","$2602.72"
"01/16/2025 as of 01/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.08"
"01/15/2025","Name Change","CNR","CORE NAT RES INC","7.0314","","",""
"01/15/2025","Name Change","20854L108","CONSOL ENERGY INC NEWXXXNAME CHANGE EFF: 01/15/25","-7.0314","","",""
"01/13/2025","Buy to Close","MARA 02/07/2025 15.00 P","PUT MARA HLDGS INC $15 EXP 02/07/25","1","$0.82","$0.66","-$82.66"
"01/09/2025","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$0.89"
"01/09/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$4.26"
"01/07/2025","Sell","CART","MAPLEBEAR INC","1","$42.67","","$42.67"
"01/06/2025","Reinvest Shares","PEP","PEPSICO INC","0.028","$147.2763","","-$4.13"
"01/06/2025","Qual Div Reinvest","PEP","PEPSICO INC","","","","$4.13"
"01/03/2025","Buy","CEG","CONSTELLATION ENERGY COR","1","$250.49","","-$250.49"
