Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
2025-04-10,Foreign Tax Paid,TSM,TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS,,,,-1.0
2025-04-10,Qualified Dividend,TSM,TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS,,,,4.74
2025-04-08,Buy,SHOP,SHOPIFY INC FCLASS A,1.0,$84.74,,-84.74
2025-04-02,Reinvest Shares,NVDA,NVIDIA CORP,0.0004,$109.09,,-0.04
2025-04-02,Qual Div Reinvest,NVDA,NVIDIA CORP,,,,0.04
2025-03-31,Reinvest Shares,SCHG,SCHWAB US LARGE CAP GROWTH ETF,0.4916,$24.47,,-12.03
2025-03-31,Reinvest Shares,PEP,PEPSICO INC,0.0274,$152.3101,,-4.17
2025-03-31,Buy,KO,THE COCA-COLA CO,2.0,$71.7584,,-143.52
2025-03-31,Reinvest Shares,UL,UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS,0.0625,$59.7998,,-3.74
2025-03-31,Qual Div Reinvest,PEP,PEPSICO INC,,,,4.17
2025-03-31,Reinvest Dividend,SCHG,SCHWAB US LARGE CAP GROWTH ETF,,,,12.03
2025-03-28,ADR Mgmt Fee,UL,UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,-0.04
2025-03-28,Qual Div Reinvest,UL,UNILEVER PLC FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,3.74
2025-03-28,Buy,SHOP,SHOPIFY INC FCLASS A,2.0,$96.55,,-193.1
2025-03-27,Buy,KO,THE COCA-COLA CO,3.0,$70.8587,,-212.58
2025-03-27,Buy,VWO,VANGUARD FTSE EMERGING MARKETS ETF,4.0,$46.115,,-184.46
2025-03-27,Buy,HOOD,ROBINHOOD MKTS INC CLASS A,2.0,$44.89,,-89.78
2025-03-25,Reinvest Shares,VWO,VANGUARD FTSE EMERGING MARKETS ETF,0.0364,$46.18,,-1.68
2025-03-25,Reinvest Shares,VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,0.0958,$63.76,,-6.11
2025-03-25,Reinvest Dividend,VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,,,,6.11
2025-03-25,Reinvest Dividend,VWO,VANGUARD FTSE EMERGING MARKETS ETF,,,,1.68
2025-03-24,Sell to Open,CCL 04/17/2025 19.50 P,PUT CARNIVAL CORP $19.5 EXP 04/17/25,1.0,$0.31,$0.66,30.34
2025-03-24,Buy to Close,DKNG 03/28/2025 39.00 P,PUT DRAFTKINGS INC NEW $39 EXP 03/28/25,1.0,$0.38,$0.66,-38.66
2025-03-21,Special Dividend,IVV,ISHARES CORE S&P ...500 ETF,,,,2.07
2025-03-21,Reinvest Shares,IVV,ISHARES CORE S&P ...500 ETF,0.175,$561.21,,-98.21
2025-03-21,Reinvest Dividend,IVV,ISHARES CORE S&P ...500 ETF,,,,98.21
2025-03-19,Buy,SHOP,SHOPIFY INC FCLASS A,2.0,$99.98,,-199.96
2025-03-18,Qualified Dividend,CEG,CONSTELLATION ENERGY COR,,,,0.39
,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,0.18
2025-03-14,Reinvest Shares,IBKR,INTERACTIVE BROKERS GROUCLASS A,0.0107,$164.9499,,-1.76
2025-03-14,Qual Div Reinvest,IBKR,INTERACTIVE BROKERS GROUCLASS A,,,,1.76
2025-03-12,Reinvest Shares,SPGI,S&P GLOBAL INC,0.0042,$478.3546,,-1.99
2025-03-12,Qual Div Reinvest,SPGI,S&P GLOBAL INC,,,,1.99
2025-03-05,Buy,NVDA,NVIDIA CORP,1.0,$117.3582,,-117.36
2025-03-05,Reinvest Shares,MTG,MGIC INVT CORP WIS,0.1533,$23.685,,-3.63
2025-03-05,Qual Div Reinvest,MTG,MGIC INVT CORP WIS,,,,3.63
2025-03-03,Reinvest Shares,V,VISA INC CLASS A,0.004,$365.0011,,-1.46
2025-03-03,Reinvest Shares,EQT,EQT CORP,0.0362,$48.4054,,-1.75
2025-03-03,Qual Div Reinvest,EQT,EQT CORP,,,,1.75
2025-03-03,Qual Div Reinvest,V,VISA INC CLASS A,,,,1.46
2025-02-28,Buy,PYPL,PAYPAL HLDGS INC,2.0,$70.815,,-141.63
2025-02-26,Buy,VWO,VANGUARD FTSE EMERGING MARK ETF IV,2.0,$46.125,,-92.25
2025-02-25,Buy,BABA,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,3.0,$134.16,,-402.48
2025-02-25,Sell,BILL,BILL HOLDINGS INC,1.0,$53.725,,53.73
2025-02-25,Sell,KD,KYNDRYL HLDGS INC,1.0,$36.96,,36.96
2025-02-25,Sell to Open,DKNG 03/28/2025 39.00 P,PUT DRAFTKINGS INC NEW $39 EXP 03/28/25,1.0,$0.76,$0.66,75.34
2025-02-19,Buy,VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,7.0,$62.845,,-439.92
2025-02-19,Buy,VWO,VANGUARD FTSE EMERGING MARK ETF IV,10.0,$45.975,,-459.75
2025-02-19,Sell,CGXU,CAPITAL GROUP INTRTNL FOC EQY ETF,38.0,$26.185,$0.04,994.99
2025-02-18,Buy to Close,CHWY 02/28/2025 37.00 P,PUT CHEWY INC $37 EXP 02/28/25,1.0,$0.37,$0.66,-37.66
,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,0.19
2025-02-13,Sell,TTD,THE TRADE DESK INC CLASS A,4.0,$83.7301,$0.01,334.91
2025-02-11,Buy,BILL,BILL HOLDINGS INC,1.0,$63.11,,-63.11
2025-02-07,Sell,ELF,E L F BEAUTY INC,1.0,$71.301,,71.3
2025-02-05,Buy,PYPL,PAYPAL HLDGS INC,2.0,$78.5348,,-157.07
2025-01-31,Reinvest Shares,EME,EMCOR GROUP INC,0.0006,$446.9817,,-0.25
2025-01-31,Qual Div Reinvest,EME,EMCOR GROUP INC,,,,0.25
2025-01-30,Buy,VWO,VANGUARD FTSE EMERGING MARK ETF IV,2.0,$44.785,,-89.57
2025-01-30,Sell to Open,CHWY 02/28/2025 37.00 P,PUT CHEWY INC $37 EXP 02/28/25,1.0,$0.75,$0.66,74.34
